ts,temp_c,humidity_pct,door_open,power_ok
0,4.020,44.8,0,1
60,4.020,44.8,0,1
120,4.011,45.5,0,1
180,3.981,44.6,0,1
240,3.961,45.2,0,1
300,4.031,45.2,0,1
360,4.052,44.7,0,1
420,4.052,45.3,0,1
480,4.012,44.7,0,1
540,4.013,45.3,0,1
600,4.033,45.1,0,1
660,4.013,44.9,0,1
720,4.003,45.3,0,1
780,3.964,45.1,0,1
840,4.024,44.8,0,1
900,3.984,45.1,0,1
960,3.954,45.2,0,1
1020,4.035,45.4,0,1
1080,3.965,45.3,0,1
1140,3.965,44.8,0,1
1200,3.956,45.5,0,1
1260,3.966,44.5,0,1
1320,4.006,45.2,0,1
1380,3.966,44.6,0,1
1440,3.997,45.5,0,1
1500,3.977,44.9,0,1
1560,3.977,45.2,0,1
1620,4.058,45.3,0,1
1680,4.058,44.5,0,1
1740,3.958,44.9,0,1
1800,4.018,44.7,0,1
1860,3.999,45.3,0,1
1920,3.999,45.2,0,1
1980,3.999,45.0,0,1
2040,4.049,45.2,0,1
2100,4.060,44.6,0,1
2160,3.960,44.7,0,1
2220,4.060,44.7,0,1
2280,4.031,45.2,0,1
2340,4.021,45.1,0,1
2400,3.961,45.1,0,1
2460,4.061,45.2,0,1
2520,4.062,45.3,0,1
2580,3.962,45.1,0,1
2640,4.002,44.6,0,1
2700,3.993,45.0,0,1
2760,3.973,45.2,0,1
2820,4.063,45.5,0,1
2880,3.983,45.4,0,1
2940,3.994,44.8,0,1
3000,3.994,45.4,0,1
3060,4.024,45.4,0,1
3120,3.974,45.0,0,1
3180,4.025,44.8,0,1
3240,4.025,44.7,0,1
3300,4.045,44.7,0,1
3360,3.996,44.7,0,1
3420,3.966,44.7,0,1
3480,4.016,44.8,0,1
3540,3.976,44.9,0,1
3600,3.997,45.2,0,1
3660,4.057,44.7,0,1
3720,3.977,45.3,0,1
3780,4.058,45.1,0,1
3840,4.028,45.0,0,1
3900,4.008,44.5,0,1
3960,4.028,45.5,0,1
4020,4.049,44.7,0,1
4080,4.019,45.4,0,1
4140,4.029,45.4,0,1
4200,4.029,44.7,0,1
4260,4.020,44.6,0,1
4320,4.040,44.6,0,1
4380,4.070,44.7,0,1
4440,4.061,44.5,0,1
4500,4.011,44.9,0,1
4560,4.001,44.5,0,1
4620,4.031,44.5,0,1
4680,4.032,44.6,0,1
4740,4.032,45.3,0,1
4800,4.072,45.5,0,1
4860,3.993,45.0,0,1
4920,3.983,45.3,0,1
4980,3.993,45.0,0,1
5040,4.073,45.0,0,1
5100,4.034,45.5,0,1
5160,4.044,45.1,0,1
5220,4.064,45.5,0,1
5280,4.044,44.9,0,1
5340,3.995,45.4,0,1
5400,4.075,45.5,0,1
5460,4.035,44.5,0,1
5520,4.046,44.6,0,1
5580,4.046,44.6,0,1
5640,4.066,44.5,0,1
5700,4.036,45.4,0,1
5760,4.067,45.3,0,1
5820,4.027,45.0,0,1
5880,4.057,45.4,0,1
5940,3.978,45.3,0,1
6000,4.048,44.8,0,1
6060,3.998,45.5,0,1
6120,4.048,44.6,0,1
6180,4.039,45.5,0,1
6240,4.059,45.0,0,1
6300,4.029,44.9,0,1
6360,3.999,45.2,0,1
6420,4.050,44.8,0,1
6480,4.010,45.4,0,1
6540,4.050,44.5,0,1
6600,3.991,44.9,0,1
6660,3.981,44.7,0,1
6720,3.981,45.5,0,1
6780,4.041,45.1,0,1
6840,3.982,45.0,0,1
6900,4.062,45.4,0,1
6960,4.002,44.5,0,1
7020,4.062,45.2,0,1
7080,4.063,45.3,0,1
7140,4.023,44.6,0,1
7200,4.003,45.2,0,1
7260,4.064,45.2,0,1
7320,4.044,45.2,0,1
7380,4.074,45.2,0,1
7440,4.014,44.7,0,1
7500,4.005,45.4,0,1
7560,4.025,44.7,0,1
7620,4.045,44.9,0,1
7680,3.996,44.7,0,1
7740,3.986,44.7,0,1
7800,4.076,45.3,0,1
7860,4.036,44.6,0,1
7920,3.987,45.1,0,1
7980,4.017,45.2,0,1
8040,4.057,45.4,0,1
8100,4.067,45.3,0,1
8160,4.058,44.7,0,1
8220,4.038,44.9,0,1
8280,4.078,45.1,0,1
8340,3.989,44.6,0,1
8400,4.009,44.9,0,1
8460,4.059,44.5,0,1
8520,4.089,44.7,0,1
8580,4.020,44.8,0,1
8640,4.010,45.4,0,1
8700,4.070,45.0,0,1
8760,4.011,44.5,0,1
8820,4.041,44.8,0,1
8880,3.991,44.8,0,1
8940,4.051,45.5,0,1
9000,4.022,44.6,0,1
9060,4.002,44.9,0,1
9120,4.042,45.1,0,1
9180,4.043,45.3,0,1
9240,4.013,44.5,0,1
9300,4.043,45.0,0,1
9360,4.003,44.6,0,1
9420,4.054,45.5,0,1
9480,4.094,44.8,0,1
9540,4.004,45.0,0,1
9600,4.044,44.5,0,1
9660,4.075,44.7,0,1
9720,4.025,44.8,0,1
9780,4.075,44.9,0,1
9840,4.016,44.6,0,1
9900,4.056,45.0,0,1
9960,4.026,45.0,0,1
10020,4.006,45.1,0,1
10080,4.027,45.0,0,1
10140,4.027,45.5,0,1
10200,4.067,44.8,0,1
10260,4.048,45.1,0,1
10320,4.038,45.5,0,1
10380,4.058,45.5,0,1
10440,4.038,44.9,0,1
10500,4.079,44.9,0,1
10560,4.069,45.4,0,1
10620,4.069,44.7,0,1
10680,4.099,44.5,0,1
10740,4.000,45.5,0,1
10800,4.050,45.0,0,1
10860,4.634,44.9,0,1
10920,5.147,44.5,0,1
10980,5.601,45.0,0,1
11040,6.184,45.0,0,1
11100,6.748,45.2,0,1
11160,7.262,45.2,0,1
11220,7.202,44.9,0,1
11280,7.282,44.6,0,1
11340,6.709,45.2,0,1
11400,6.186,45.1,0,1
11460,5.653,45.2,0,1
11520,5.110,44.5,0,1
11580,4.597,44.6,0,1
11640,4.104,45.4,0,1
11700,4.004,44.8,0,1
11760,4.064,44.8,0,1
11820,4.045,44.6,0,1
11880,4.035,44.9,0,1
11940,4.015,44.7,0,1
12000,4.096,45.2,0,1
12060,4.016,45.0,0,1
12120,4.016,45.0,0,1
12180,4.016,44.5,0,1
12240,4.017,44.6,0,1
12300,4.087,44.8,0,1
12360,4.057,45.3,0,1
12420,4.098,45.0,0,1
12480,4.028,44.9,0,1
12540,4.108,45.4,0,1
12600,4.008,44.8,0,1
12660,4.099,45.1,0,1
12720,4.109,44.6,0,1
12780,4.059,44.6,0,1
12840,4.109,44.5,0,1
12900,4.070,45.1,0,1
12960,4.100,45.3,0,1
13020,4.110,45.1,0,1
13080,4.021,44.9,0,1
13140,4.031,44.8,0,1
13200,4.011,45.3,0,1
13260,4.021,45.2,0,1
13320,4.032,45.2,0,1
13380,4.012,45.5,0,1
13440,4.092,45.2,0,1
13500,4.093,45.0,0,1
13560,4.083,45.4,0,1
13620,4.103,45.3,0,1
13680,4.093,45.2,0,1
13740,4.054,44.7,0,1
13800,4.044,44.6,0,1
13860,4.034,44.8,0,1
13920,4.024,44.9,0,1
13980,4.075,45.3,0,1
14040,4.095,45.4,0,1
14100,4.035,44.7,0,1
14160,4.066,44.7,0,1
14220,4.046,44.7,0,1
14280,4.066,45.1,0,1
14340,4.066,44.9,0,1
14400,4.027,45.2,0,1
14460,4.107,45.0,0,1
14520,4.047,45.1,0,1
14580,4.067,44.9,0,1
14640,4.048,44.9,0,1
14700,4.018,45.3,0,1
14760,4.118,44.5,0,1
14820,4.119,44.5,0,1
14880,4.039,44.8,0,1
14940,4.059,44.7,0,1
15000,4.069,45.0,0,1
15060,4.120,45.5,0,1
15120,4.030,45.1,0,1
15180,4.050,45.0,0,1
15240,4.061,44.7,0,1
15300,4.021,44.6,0,1
15360,4.021,45.3,0,1
15420,4.021,45.2,0,1
15480,4.102,45.2,0,1
15540,4.022,45.2,0,1
15600,4.112,45.3,0,1
15660,4.112,45.2,0,1
15720,4.113,44.8,0,1
15780,4.123,45.2,0,1
15840,4.043,45.0,0,1
15900,4.054,45.3,0,1
15960,4.084,45.1,0,1
16020,4.084,45.3,0,1
16080,4.094,44.7,0,1
16140,4.045,45.0,0,1
16200,4.055,45.3,0,1
16260,4.085,45.2,0,1
16320,4.026,44.5,0,1
16380,4.106,45.2,0,1
16440,4.106,45.2,0,1
16500,4.106,45.4,0,1
16560,4.027,45.3,0,1
16620,4.067,44.8,0,1
16680,4.117,45.4,0,1
16740,4.107,45.0,0,1
16800,4.028,45.0,0,1
16860,4.068,45.4,0,1
16920,4.118,44.5,0,1
16980,4.079,44.8,0,1
17040,4.029,44.5,0,1
17100,4.049,45.1,0,1
17160,4.079,45.3,0,1
17220,4.060,45.2,0,1
17280,4.040,44.5,0,1
17340,4.100,45.5,0,1
17400,4.071,45.3,0,1
17460,4.041,44.8,0,1
17520,4.071,44.9,0,1
17580,4.041,45.0,0,1
17640,4.122,44.8,0,1
17700,4.042,44.7,0,1
17760,4.112,44.6,0,1
17820,4.062,45.0,0,1
17880,4.073,45.2,0,1
17940,4.063,45.2,0,1
18000,4.043,44.9,0,1
18060,4.074,45.0,0,1
18120,4.064,44.8,0,1
18180,4.044,44.9,0,1
18240,4.044,44.5,0,1
18300,4.135,44.7,0,1
18360,4.105,45.4,0,1
18420,4.115,44.9,0,1
18480,4.096,44.5,0,1
18540,4.086,44.5,0,1
18600,4.136,45.2,0,1
18660,4.076,45.2,0,1
18720,4.087,45.0,0,1
18780,4.097,44.5,0,1
18840,4.107,45.3,0,1
18900,4.138,45.2,0,1
18960,4.068,44.6,0,1
19020,4.108,44.6,0,1
19080,4.098,45.5,0,1
19140,4.059,44.7,0,1
19200,4.069,44.5,0,1
19260,4.119,45.4,0,1
19320,4.129,45.0,0,1
19380,4.070,45.2,0,1
19440,4.070,45.3,0,1
19500,4.110,44.7,0,1
19560,4.141,45.5,0,1
19620,4.131,44.9,0,1
19680,4.051,44.6,0,1
19740,4.091,45.3,0,1
19800,4.072,44.9,0,1
19860,4.132,44.5,0,1
19920,4.062,45.4,0,1
19980,4.133,44.8,0,1
20040,4.073,45.0,0,1
20100,4.053,45.0,0,1
20160,4.093,45.5,0,1
20220,4.144,44.7,0,1
20280,4.124,45.5,0,1
20340,4.054,44.9,0,1
20400,4.124,45.0,0,1
20460,4.045,45.0,0,1
20520,4.045,45.2,0,1
20580,4.145,45.0,0,1
20640,4.066,45.5,0,1
20700,4.116,44.9,0,1
20760,4.126,45.0,0,1
20820,4.096,45.5,0,1
20880,4.077,45.3,0,1
20940,4.147,45.4,0,1
21000,4.047,44.7,0,1
21060,4.138,44.7,0,1
21120,4.078,45.1,0,1
21180,4.118,44.9,0,1
21240,4.098,44.9,0,1
21300,4.139,44.6,0,1
21360,4.049,45.0,0,1
21420,4.129,44.9,0,1
21480,4.079,44.6,0,1
21540,4.140,45.3,0,1
21600,4.150,45.4,0,1
21660,4.120,45.4,0,1
21720,4.081,45.2,0,1
21780,4.071,45.4,0,1
21840,4.141,44.5,0,1
21900,4.061,44.5,0,1
21960,4.142,44.6,0,1
22020,4.142,45.3,0,1
22080,4.142,45.1,0,1
22140,4.112,45.4,0,1
22200,4.073,45.1,0,1
22260,4.073,45.2,0,1
22320,4.093,45.1,0,1
22380,4.134,45.4,0,1
22440,4.104,45.5,0,1
22500,4.094,45.2,0,1
22560,4.114,44.7,0,1
22620,4.095,45.4,0,1
22680,4.115,45.2,0,1
22740,4.135,44.8,0,1
22800,4.066,44.6,0,1
22860,4.076,45.5,0,1
22920,4.136,45.0,0,1
22980,4.096,44.8,0,1
23040,4.087,44.7,0,1
23100,4.057,45.2,0,1
23160,4.137,44.9,0,1
23220,4.147,45.0,0,1
23280,4.098,44.5,0,1
23340,4.058,44.8,0,1
23400,4.148,45.4,0,1
23460,4.139,45.2,0,1
23520,4.069,45.3,0,1
23580,4.109,45.1,0,1
23640,4.129,45.5,0,1
23700,4.110,44.7,0,1
23760,4.110,44.7,0,1
23820,4.110,45.0,0,1
23880,4.121,44.6,0,1
23940,4.111,44.8,0,1
24000,4.081,45.3,0,1
24060,4.091,45.0,0,1
24120,4.102,45.2,0,1
24180,4.142,44.6,0,1
24240,4.132,45.1,0,1
24300,4.093,44.6,0,1
24360,4.133,45.5,0,1
24420,4.163,45.1,0,1
24480,4.123,44.5,0,1
24540,4.094,44.7,0,1
24600,4.064,44.9,0,1
24660,4.084,44.9,0,1
24720,4.164,45.1,0,1
24780,4.095,45.4,0,1
24840,4.115,44.5,0,1
24900,4.115,45.4,0,1
24960,4.106,44.8,0,1
25020,4.126,45.1,0,1
25080,4.106,45.4,0,1
25140,4.146,45.3,0,1
25200,4.117,44.7,0,1
25260,4.067,45.5,0,1
25320,4.117,45.2,0,1
25380,4.127,44.6,0,1
25440,4.138,45.2,0,1
25500,4.068,45.5,0,1
25560,4.158,44.6,0,1
25620,4.129,45.4,0,1
25680,4.169,45.0,0,1
25740,4.099,45.2,0,1
25800,4.169,45.4,0,1
25860,4.080,45.4,0,1
25920,4.080,45.3,0,1
25980,4.120,44.6,0,1
26040,4.081,44.6,0,1
26100,4.131,45.2,0,1
26160,4.091,45.5,0,1
26220,4.071,45.3,0,1
26280,4.162,45.5,0,1
26340,4.132,44.7,0,1
26400,4.172,45.1,0,1
26460,4.122,45.3,0,1
26520,4.103,45.5,0,1
26580,4.083,44.9,0,1
26640,4.103,44.7,0,1
26700,4.134,44.5,0,1
26760,4.164,45.4,0,1
26820,4.124,44.6,0,1
26880,4.134,44.9,0,1
26940,4.145,45.3,0,1
27000,4.095,45.4,0,1
27060,4.135,44.5,0,1
27120,4.136,44.5,0,1
27180,4.106,44.5,0,1
27240,4.166,45.5,0,1
27300,4.156,44.6,0,1
27360,4.107,45.3,0,1
27420,4.097,45.0,0,1
27480,4.177,44.5,0,1
27540,4.098,44.6,0,1
27600,4.158,44.7,0,1
27660,4.098,45.2,0,1
27720,4.158,45.2,0,1
27780,4.169,45.4,0,1
27840,4.129,44.5,0,1
27900,4.139,45.1,0,1
27960,4.079,45.2,0,1
28020,4.130,45.5,0,1
28080,4.090,45.3,0,1
28140,4.170,45.2,0,1
28200,4.171,44.7,0,1
28260,4.111,44.6,0,1
28320,4.171,45.2,0,1
28380,4.101,45.2,0,1
28440,4.122,45.1,0,1
28500,4.082,45.3,0,1
28560,4.112,45.3,0,1
28620,4.163,45.4,0,1
28680,4.123,45.2,0,1
28740,4.133,44.8,0,1
28800,4.123,45.0,0,1
28860,4.154,45.4,0,1
28920,4.114,45.5,0,1
28980,4.134,45.5,0,1
29040,4.094,45.1,0,1
29100,4.145,45.5,0,1
29160,4.145,45.5,0,1
29220,4.125,45.3,0,1
29280,4.096,45.2,0,1
