ts,temp_c,humidity_pct,door_open,power_ok
0,4.020,44.8,0,1
10,4.000,44.9,0,1
20,4.020,44.7,0,1
30,4.050,44.7,0,1
40,4.050,44.5,0,1
50,3.990,45.4,0,1
60,4.050,45.4,0,1
70,3.980,44.8,0,1
80,3.960,44.5,0,1
90,4.040,45.5,0,1
100,3.960,44.6,0,1
110,3.950,45.5,0,1
120,4.030,45.1,0,1
130,3.960,45.0,0,1
140,3.970,45.1,0,1
150,3.950,45.4,0,1
160,4.020,44.5,0,1
170,4.040,44.6,0,1
180,3.950,44.6,0,1
190,4.040,44.5,0,1
200,4.050,45.3,0,1
210,4.000,45.5,0,1
220,3.950,44.5,0,1
230,3.960,44.5,0,1
240,4.040,45.0,0,1
250,4.050,44.8,0,1
260,3.990,45.3,0,1
270,3.950,45.1,0,1
280,3.970,45.3,0,1
290,4.050,45.5,0,1
300,4.020,45.0,0,1
310,3.990,45.0,0,1
320,3.970,45.2,0,1
330,4.000,45.4,0,1
340,3.980,44.5,0,1
350,3.960,44.5,0,1
360,4.020,45.3,0,1
370,3.990,44.6,0,1
380,3.980,44.8,0,1
390,4.000,44.8,0,1
400,3.990,45.4,0,1
410,4.010,45.0,0,1
420,3.980,45.3,0,1
430,4.050,45.2,0,1
440,4.020,45.1,0,1
450,4.050,45.1,0,1
460,3.950,44.9,0,1
470,3.960,44.9,0,1
480,3.980,45.1,0,1
490,4.030,44.6,0,1
500,3.990,44.9,0,1
510,3.960,45.4,0,1
520,4.040,45.0,0,1
530,4.040,44.5,0,1
540,3.950,45.0,0,1
550,3.960,45.2,0,1
560,3.960,45.1,0,1
570,4.020,45.3,0,1
580,3.970,44.8,0,1
590,4.000,45.3,0,1
600,4.050,45.2,0,1
610,4.020,45.3,0,1
620,4.010,45.0,0,1
630,3.970,45.0,0,1
640,4.040,45.3,0,1
650,3.980,45.0,0,1
660,4.050,45.2,0,1
670,4.050,44.8,0,1
680,3.980,45.2,0,1
690,4.050,44.8,0,1
700,3.990,45.2,0,1
710,3.950,44.6,0,1
720,4.000,45.1,0,1
730,3.970,45.0,0,1
740,3.980,44.8,0,1
750,4.010,45.4,0,1
760,3.960,45.2,0,1
770,3.950,45.4,0,1
780,3.950,44.9,0,1
790,3.970,45.5,0,1
800,4.030,45.0,0,1
810,4.040,44.6,0,1
820,3.960,44.8,0,1
830,3.990,44.8,0,1
840,3.980,45.5,0,1
850,4.050,45.2,0,1
860,3.950,45.3,0,1
870,4.020,45.4,0,1
880,4.040,45.3,0,1
890,4.030,44.5,0,1
900,4.050,44.5,0,1
910,3.980,45.1,0,1
920,3.990,45.5,0,1
930,4.020,44.7,0,1
940,4.040,44.5,0,1
950,3.970,44.9,0,1
960,4.050,45.3,0,1
970,3.980,45.5,0,1
980,3.970,44.5,0,1
990,3.990,45.2,0,1
1000,3.960,44.8,0,1
1010,3.980,44.5,0,1
1020,3.980,44.9,0,1
1030,3.980,44.6,0,1
1040,4.040,45.2,0,1
1050,3.970,44.6,0,1
1060,4.020,44.7,0,1
1070,4.030,45.0,0,1
1080,3.960,44.6,0,1
1090,4.020,45.3,0,1
1100,3.970,45.1,0,1
1110,3.990,44.6,0,1
1120,3.980,45.3,0,1
1130,3.950,44.6,0,1
1140,3.950,44.7,0,1
1150,4.050,45.5,0,1
1160,3.990,44.9,0,1
1170,4.040,45.2,0,1
1180,4.010,44.7,0,1
1190,4.000,45.3,0,1
1200,4.030,44.7,0,1
1210,3.970,45.0,0,1
1220,3.960,44.5,0,1
1230,4.020,45.1,0,1
1240,3.980,45.2,0,1
1250,4.040,45.0,0,1
1260,4.050,44.6,0,1
1270,3.960,45.0,0,1
1280,4.040,44.6,0,1
1290,3.970,45.2,0,1
1300,4.010,44.7,0,1
1310,4.010,44.7,0,1
1320,4.030,44.5,0,1
1330,3.950,45.4,0,1
1340,3.970,45.0,0,1
1350,4.020,44.8,0,1
1360,3.990,44.7,0,1
1370,4.040,44.9,0,1
1380,3.960,45.5,0,1
1390,4.030,45.1,0,1
1400,3.990,45.2,0,1
1410,4.050,44.9,0,1
1420,3.960,45.0,0,1
1430,4.020,44.7,0,1
1440,3.950,45.4,0,1
1450,4.020,45.2,0,1
1460,4.000,45.4,0,1
1470,3.970,44.9,0,1
1480,3.990,45.1,0,1
1490,3.960,45.4,0,1
1500,3.990,45.4,0,1
1510,4.040,45.5,0,1
1520,3.970,45.2,0,1
1530,4.000,44.5,0,1
1540,3.960,44.9,0,1
1550,3.950,45.4,0,1
1560,3.990,44.6,0,1
1570,4.020,45.1,0,1
1580,4.000,44.7,0,1
1590,4.050,44.9,0,1
1600,3.970,45.0,0,1
1610,4.030,44.8,0,1
1620,4.040,44.6,0,1
1630,4.000,44.8,0,1
1640,4.020,45.3,0,1
1650,4.050,45.2,0,1
1660,4.040,45.4,0,1
1670,3.950,45.4,0,1
1680,3.960,45.3,0,1
1690,4.030,44.6,0,1
1700,3.990,44.7,0,1
1710,3.990,44.7,0,1
1720,4.030,44.9,0,1
1730,3.990,44.5,0,1
1740,3.970,44.6,0,1
1750,3.970,45.2,0,1
1760,3.990,44.9,0,1
1770,4.040,44.8,0,1
1780,4.000,44.8,0,1
1790,4.040,45.0,0,1
1800,3.960,45.1,0,1
1810,3.980,44.7,0,1
1820,3.980,44.7,0,1
1830,4.020,45.2,0,1
1840,4.030,45.4,0,1
1850,4.000,45.5,0,1
1860,3.960,45.1,0,1
1870,3.990,44.8,0,1
1880,3.980,44.9,0,1
1890,4.040,44.6,0,1
1900,4.020,44.7,0,1
1910,4.050,45.4,0,1
1920,4.020,45.1,0,1
1930,4.040,44.8,0,1
1940,4.020,45.1,0,1
1950,4.020,45.0,0,1
1960,3.990,44.5,0,1
1970,4.020,44.7,0,1
1980,4.050,44.9,0,1
1990,4.040,45.0,0,1
2000,4.040,45.2,0,1
2010,4.030,44.6,0,1
2020,3.970,44.6,0,1
2030,3.950,45.3,0,1
2040,3.960,44.6,0,1
2050,4.030,44.8,0,1
2060,4.010,44.5,0,1
2070,4.040,44.7,0,1
2080,4.050,45.1,0,1
2090,3.990,45.1,0,1
2100,4.050,45.5,0,1
2110,3.980,45.5,0,1
2120,4.010,44.8,0,1
2130,4.000,45.3,0,1
2140,4.000,44.9,0,1
2150,4.050,45.0,0,1
2160,3.950,45.4,0,1
2170,4.040,44.7,0,1
2180,4.000,45.4,0,1
2190,3.950,44.5,0,1
2200,3.980,45.1,0,1
2210,3.950,45.5,0,1
2220,4.040,45.2,0,1
2230,4.020,45.1,0,1
2240,4.030,45.0,0,1
2250,3.980,45.2,0,1
2260,4.030,44.5,0,1
2270,4.020,45.5,0,1
2280,3.970,45.4,0,1
2290,4.030,45.5,0,1
2300,3.990,45.0,0,1
2310,3.980,45.2,0,1
2320,3.990,45.4,0,1
2330,4.020,44.9,0,1
2340,3.980,44.9,0,1
2350,3.970,45.4,0,1
2360,4.030,45.1,0,1
2370,3.950,45.0,0,1
2380,4.010,44.7,0,1
2390,3.950,44.9,0,1
2400,3.990,44.5,0,1
2410,4.040,44.6,0,1
2420,4.040,45.1,0,1
2430,3.990,45.4,0,1
2440,3.970,45.2,0,1
2450,4.050,44.6,0,1
2460,4.000,44.7,0,1
2470,4.020,45.3,0,1
2480,4.000,44.5,0,1
2490,4.050,45.5,0,1
2500,4.050,44.8,0,1
2510,4.010,44.7,0,1
2520,4.000,45.1,0,1
2530,3.960,45.2,0,1
2540,4.050,45.5,0,1
2550,3.960,45.1,0,1
2560,4.020,45.0,0,1
2570,3.990,44.6,0,1
2580,3.960,44.7,0,1
2590,4.040,45.0,0,1
2600,3.960,45.0,0,1
2610,3.990,45.1,0,1
2620,4.000,44.5,0,1
2630,4.050,45.0,0,1
2640,4.000,45.0,0,1
2650,4.030,44.8,0,1
2660,4.050,44.9,0,1
2670,4.030,45.0,0,1
2680,4.030,44.6,0,1
2690,3.980,45.0,0,1
2700,3.990,45.0,0,1
2710,4.040,45.3,0,1
2720,4.030,45.0,0,1
2730,3.980,44.7,0,1
2740,4.040,44.7,0,1
2750,4.030,44.7,0,1
2760,4.050,44.8,0,1
2770,3.970,44.6,0,1
2780,4.040,44.7,0,1
2790,4.030,44.5,0,1
2800,4.010,44.9,0,1
2810,4.040,45.0,0,1
2820,4.020,45.3,0,1
2830,4.020,45.3,0,1
2840,4.040,44.9,0,1
2850,4.030,45.2,0,1
2860,4.040,45.1,0,1
2870,4.040,45.5,0,1
2880,4.010,44.7,0,1
2890,4.040,45.2,0,1
2900,4.010,45.5,0,1
2910,3.950,44.7,0,1
2920,4.020,44.9,0,1
2930,4.030,44.8,0,1
2940,4.040,44.8,0,1
2950,3.970,44.5,0,1
2960,4.000,45.3,0,1
2970,3.980,44.5,0,1
2980,3.970,45.4,0,1
2990,3.990,44.9,0,1
3000,4.030,44.8,0,1
3010,3.970,45.5,0,1
3020,4.020,45.1,0,1
3030,3.950,44.5,0,1
3040,3.970,45.2,0,1
3050,3.960,45.5,0,1
3060,4.020,45.2,0,1
3070,4.040,44.6,0,1
3080,4.050,44.9,0,1
3090,3.970,44.9,0,1
3100,4.040,45.3,0,1
3110,3.970,45.3,0,1
3120,4.010,45.0,0,1
3130,3.990,45.1,0,1
3140,3.960,45.2,0,1
3150,4.040,44.7,0,1
3160,4.020,45.0,0,1
3170,3.980,45.0,0,1
3180,3.980,44.6,0,1
3190,3.950,45.0,0,1
3200,3.950,44.8,0,1
3210,3.990,44.7,0,1
3220,3.960,44.6,0,1
3230,4.030,44.6,0,1
3240,3.980,45.1,0,1
3250,3.970,45.2,0,1
3260,3.950,45.0,0,1
3270,3.960,45.5,0,1
3280,4.050,44.5,0,1
3290,3.970,44.9,0,1
3300,4.010,45.4,0,1
3310,3.950,44.9,0,1
3320,3.950,45.4,0,1
3330,4.020,44.6,0,1
3340,4.040,45.1,0,1
3350,3.980,45.1,0,1
3360,3.950,45.1,0,1
3370,3.970,44.6,0,1
3380,4.030,44.5,0,1
3390,3.980,44.9,0,1
3400,4.040,44.7,0,1
3410,4.040,44.8,0,1
3420,4.050,44.9,0,1
3430,4.010,45.0,0,1
3440,4.020,44.7,0,1
3450,3.960,45.3,0,1
3460,3.980,45.5,0,1
3470,4.020,44.5,0,1
3480,4.030,44.8,0,1
3490,3.990,44.8,0,1
3500,3.990,44.5,0,1
3510,3.970,45.0,0,1
3520,3.960,45.5,0,1
3530,4.010,44.6,0,1
3540,4.030,45.5,0,1
3550,3.960,44.5,0,1
3560,4.040,45.4,0,1
3570,3.960,44.8,0,1
3580,4.010,45.4,0,1
3590,3.990,45.2,0,1
3600,4.000,45.4,0,1
3610,4.050,44.7,0,1
3620,4.020,44.6,0,1
3630,3.970,45.3,0,1
3640,3.970,44.5,0,1
3650,3.950,45.3,0,1
3660,3.980,44.9,0,1
3670,3.980,45.4,0,1
3680,4.030,45.2,0,1
