ts,temp_c,humidity_pct,door_open,power_ok
0,4.050,44.7,0,1
10,4.010,45.5,0,1
20,4.050,45.5,0,1
30,4.000,45.3,0,1
40,4.030,44.9,0,1
50,4.000,45.0,0,1
60,4.030,44.9,0,1
70,3.990,45.1,0,1
80,3.960,45.4,0,1
90,4.030,45.4,0,1
100,4.010,45.3,0,1
110,4.050,45.2,0,1
120,3.980,44.7,0,1
130,3.980,45.1,0,1
140,4.040,45.3,0,1
150,3.970,44.7,0,1
160,4.040,44.7,0,1
170,4.000,45.3,0,1
180,3.990,44.5,0,1
190,4.000,45.1,0,1
200,3.970,45.0,0,1
210,4.040,44.9,0,1
220,3.990,45.4,0,1
230,4.040,44.9,0,1
240,4.020,45.5,0,1
250,4.040,45.2,0,1
260,3.950,45.0,0,1
270,4.020,45.3,0,1
280,4.010,44.5,0,1
290,4.000,45.3,0,1
300,3.980,44.6,0,1
310,4.040,44.6,0,1
320,4.000,45.4,0,1
330,3.950,44.8,0,1
340,3.960,45.4,0,1
350,4.020,45.3,0,1
360,3.960,44.6,0,1
370,4.050,45.3,0,1
380,3.980,45.2,0,1
390,3.970,44.6,0,1
400,4.010,44.9,0,1
410,3.980,44.5,0,1
420,3.960,45.2,0,1
430,4.030,44.9,0,1
440,4.050,45.1,0,1
450,4.020,44.6,0,1
460,3.990,45.5,0,1
470,3.980,45.0,0,1
480,3.950,45.5,0,1
490,3.990,44.8,0,1
500,4.000,44.8,0,1
510,3.960,44.9,0,1
520,4.030,44.8,0,1
530,4.000,44.9,0,1
540,4.000,45.0,0,1
550,3.980,45.0,0,1
560,3.970,44.7,0,1
570,4.020,44.8,0,1
580,3.980,44.8,0,1
590,4.010,45.0,0,1
600,3.990,45.4,0,1
610,4.030,45.2,0,1
620,3.980,45.1,0,1
630,4.050,45.2,0,1
640,3.990,45.2,0,1
650,4.030,45.1,0,1
660,3.960,45.2,0,1
670,3.950,45.5,0,1
680,4.040,45.1,0,1
690,4.030,45.0,0,1
700,4.050,44.8,0,1
710,3.980,45.2,0,1
720,3.980,45.2,0,1
730,3.980,44.9,0,1
740,4.040,45.2,0,1
750,4.020,44.5,0,1
760,4.050,45.5,0,1
770,3.970,44.7,0,1
780,3.970,45.3,0,1
790,3.950,45.3,0,1
800,3.980,45.0,0,1
810,4.040,44.9,0,1
820,4.010,44.6,0,1
830,4.050,44.8,0,1
840,3.990,45.3,0,1
850,3.980,45.2,0,1
860,3.970,45.4,0,1
870,3.950,45.4,0,1
880,4.050,45.3,0,1
890,4.000,45.2,0,1
900,4.050,45.2,0,1
910,3.990,44.6,0,1
920,3.960,44.9,0,1
930,3.980,45.3,0,1
940,3.980,45.0,0,1
950,3.960,45.4,0,1
960,4.020,44.6,0,1
970,4.010,44.6,0,1
980,3.980,44.6,0,1
990,3.980,45.4,0,1
1000,3.950,44.8,0,1
1010,4.010,45.1,0,1
1020,4.030,44.6,0,1
1030,3.950,44.7,0,1
1040,3.960,45.5,0,1
1050,4.010,44.7,0,1
1060,4.010,44.8,0,1
1070,3.990,44.5,0,1
1080,4.010,45.2,0,1
1090,4.010,44.5,0,1
1100,4.030,45.2,0,1
1110,4.020,44.5,0,1
1120,4.020,45.0,0,1
1130,4.000,45.0,0,1
1140,3.960,45.3,0,1
1150,3.960,44.5,0,1
1160,4.020,45.5,0,1
1170,3.950,44.6,0,1
1180,4.050,45.4,0,1
1190,3.960,45.1,0,1
1200,3.950,44.8,0,1
1210,3.980,44.7,0,1
1220,3.960,45.4,0,1
1230,3.960,44.9,0,1
1240,4.050,45.1,0,1
1250,4.030,44.6,0,1
1260,4.030,45.5,0,1
1270,4.020,44.8,0,1
1280,4.010,45.2,0,1
1290,3.970,45.2,0,1
1300,3.960,45.2,0,1
1310,3.990,44.6,0,1
1320,3.960,45.4,0,1
1330,4.040,45.5,0,1
1340,4.020,45.4,0,1
1350,4.050,44.7,0,1
1360,3.960,44.9,0,1
1370,3.950,44.6,0,1
1380,4.050,45.4,0,1
1390,3.970,45.3,0,1
1400,4.030,45.1,0,1
1410,4.020,44.5,0,1
1420,3.990,45.2,0,1
1430,3.980,44.9,0,1
1440,4.000,45.1,0,1
1450,4.040,44.7,0,1
1460,4.030,45.3,0,1
1470,4.030,44.6,0,1
1480,4.010,44.8,0,1
1490,4.000,45.1,0,1
1500,4.020,45.4,0,1
1510,4.030,44.5,0,1
1520,3.960,44.9,0,1
1530,4.040,45.3,0,1
1540,4.020,45.1,0,1
1550,4.030,45.2,0,1
1560,4.010,44.6,0,1
1570,4.000,45.2,0,1
1580,4.040,44.8,0,1
1590,4.030,44.7,0,1
1600,4.050,45.1,0,1
1610,3.960,45.0,0,1
1620,4.020,45.5,0,1
1630,4.050,44.6,0,1
1640,3.960,44.6,0,1
1650,3.960,45.3,0,1
1660,4.040,45.2,0,1
1670,4.000,45.1,0,1
1680,3.990,45.5,0,1
1690,3.960,44.5,0,1
1700,3.950,44.9,0,1
1710,3.970,45.2,0,1
1720,3.980,44.7,0,1
1730,3.960,44.7,0,1
1740,4.020,45.2,0,1
1750,4.040,44.7,0,1
1760,3.990,44.5,0,1
1770,4.030,44.6,0,1
1780,3.970,45.5,0,1
1790,4.030,45.5,0,1
1800,3.960,45.4,0,1
1810,3.980,44.9,0,1
1820,3.960,45.1,0,1
1830,4.000,44.7,0,1
1840,3.970,45.1,0,1
1850,3.980,44.5,0,1
1860,4.020,45.5,0,1
1870,3.970,44.7,0,1
1880,3.960,45.5,0,1
1890,4.010,44.9,0,1
1900,4.020,44.8,0,1
1910,4.050,45.3,0,1
1920,4.000,45.2,0,1
1930,4.010,45.1,0,1
1940,3.960,45.1,0,1
1950,3.990,44.8,0,1
1960,3.980,45.4,0,1
1970,3.970,45.2,0,1
1980,3.980,44.8,0,1
1990,4.050,44.8,0,1
2000,4.000,45.0,0,1
2010,3.970,44.9,0,1
2020,4.050,44.9,0,1
2030,4.040,45.2,0,1
2040,4.050,44.6,0,1
2050,4.010,44.5,0,1
2060,4.040,45.5,0,1
2070,3.950,45.1,0,1
2080,4.010,44.6,0,1
2090,3.960,44.7,0,1
2100,4.030,45.4,0,1
2110,3.950,45.5,0,1
2120,3.980,45.3,0,1
2130,4.020,44.7,0,1
2140,3.950,44.7,0,1
2150,3.980,44.5,0,1
2160,3.950,44.6,0,1
2170,4.050,45.1,0,1
2180,3.950,44.7,0,1
2190,4.050,45.4,0,1
2200,3.970,45.3,0,1
2210,3.960,44.6,0,1
2220,3.960,44.7,0,1
2230,3.970,44.6,0,1
2240,3.970,45.0,0,1
2250,4.050,44.5,0,1
2260,3.950,45.2,0,1
2270,4.010,44.5,0,1
2280,4.040,44.7,0,1
2290,3.950,45.5,0,1
2300,4.000,44.6,0,1
2310,3.950,45.0,0,1
2320,4.050,44.9,0,1
2330,3.980,44.6,0,1
2340,3.960,45.5,0,1
2350,3.960,45.1,0,1
2360,3.950,45.1,0,1
2370,3.950,45.1,0,1
2380,3.960,45.2,0,1
2390,4.030,45.1,0,1
2400,4.040,45.1,0,1
2410,4.040,44.9,0,1
2420,3.980,44.7,0,1
2430,4.050,44.6,0,1
2440,3.980,44.8,0,1
2450,4.040,45.0,0,1
2460,4.010,45.0,0,1
2470,3.950,44.8,0,1
2480,4.050,45.4,0,1
2490,4.040,45.2,0,1
2500,4.030,44.8,0,1
2510,3.950,45.4,0,1
2520,3.980,45.5,0,1
2530,4.010,44.7,0,1
2540,3.950,45.3,0,1
2550,4.020,45.4,0,1
2560,4.040,45.2,0,1
2570,3.950,45.4,0,1
2580,4.020,44.6,0,1
2590,3.950,45.1,0,1
2600,3.970,45.4,0,1
2610,3.980,45.5,0,1
2620,4.050,45.1,0,1
2630,3.980,45.1,0,1
2640,3.960,45.3,0,1
2650,3.970,45.5,0,1
2660,4.030,45.4,0,1
2670,4.040,45.5,0,1
2680,3.990,45.2,0,1
